level,task,order,id
hard,MR,9,080SSAF
easy,MR,1,083SSAN
medium,ST,2,083SSAN
hard,MS,3,083SSAN
easy,ST,4,083SSAN
medium,MR,5,083SSAN
hard,MR,6,083SSAN
easy,MS,7,083SSAN
medium,MS,8,083SSAN
hard,ST,9,083SSAN
easy,ST,1,086SSAI
easy,MR,2,086SSAI
hard,MS,3,086SSAI
medium,MR,4,086SSAI
hard,MR,5,086SSAI
medium,MS,6,086SSAI
easy,MS,7,086SSAI
medium,ST,8,086SSAI
hard,ST,9,086SSAI
