id,trials,task,level,n,rt,acc
010SSEA,3,MS,hard,4,NA,0.5714285714285714
010SSEA,4,MS,easy,3,NA,1
010SSEA,4,MS,medium,5,NA,1
010SSEA,4,MS,hard,5,NA,0.7142857142857143
010SSEA,5,MS,easy,3,NA,1
010SSEA,5,MS,medium,5,NA,1
010SSEA,5,MS,hard,6,NA,0.8571428571428571
010SSEA,6,MS,easy,3,NA,1
010SSEA,6,MS,medium,5,NA,1
010SSEA,6,MS,hard,5,NA,0.7142857142857143
010SSEA,7,MS,easy,3,NA,1
010SSEA,7,MS,medium,5,NA,1
010SSEA,7,MS,hard,5,NA,0.7142857142857143
010SSEA,8,MS,easy,3,NA,1
010SSEA,8,MS,medium,4,NA,0.8
010SSEA,8,MS,hard,4,NA,0.5714285714285714
010SSEA,9,MS,easy,3,NA,1
010SSEA,9,MS,medium,5,NA,1
010SSEA,9,MS,hard,5,NA,0.7142857142857143
010SSEA,10,MS,easy,3,NA,1
010SSEA,10,MS,medium,5,NA,1
010SSEA,10,MS,hard,5,NA,0.7142857142857143
010SSEA,11,MS,easy,3,NA,1
010SSEA,11,MS,medium,5,NA,1
010SSEA,11,MS,hard,4,NA,0.5714285714285714
010SSEA,12,MS,easy,3,NA,1
010SSEA,12,MS,medium,4,NA,0.8
010SSEA,12,MS,hard,3,NA,0.42857142857142855
010SSEA,13,MS,easy,3,NA,1
010SSEA,13,MS,medium,4,NA,0.8
010SSEA,13,MS,hard,4,NA,0.5714285714285714
010SSEA,14,MS,easy,3,NA,1
010SSEA,14,MS,medium,5,NA,1
010SSEA,14,MS,hard,4,NA,0.5714285714285714
010SSEA,15,MS,easy,3,NA,1
010SSEA,15,MS,medium,5,NA,1
010SSEA,15,MS,hard,5,NA,0.7142857142857143
010SSEA,16,MS,easy,3,NA,1
010SSEA,16,MS,medium,4,NA,0.8
010SSEA,16,MS,hard,6,NA,0.8571428571428571
011SSAB,1,MS,easy,2,NA,0.6666666666666666
011SSAB,1,MS,medium,5,NA,1
011SSAB,1,MS,hard,4,NA,0.5714285714285714
011SSAB,2,MS,easy,3,NA,1
011SSAB,2,MS,medium,3,NA,0.6
011SSAB,2,MS,hard,4,NA,0.5714285714285714
011SSAB,3,MS,easy,3,NA,1
011SSAB,3,MS,medium,4,NA,0.8
011SSAB,3,MS,hard,3,NA,0.42857142857142855
011SSAB,4,MS,easy,3,NA,1
011SSAB,4,MS,medium,3,NA,0.6
011SSAB,4,MS,hard,5,NA,0.7142857142857143
011SSAB,5,MS,easy,3,NA,1
011SSAB,5,MS,medium,5,NA,1
011SSAB,5,MS,hard,2,NA,0.2857142857142857
011SSAB,6,MS,easy,3,NA,1
011SSAB,6,MS,medium,5,NA,1
011SSAB,6,MS,hard,5,NA,0.7142857142857143
011SSAB,7,MS,easy,3,NA,1
011SSAB,7,MS,medium,4,NA,0.8
011SSAB,7,MS,hard,3,NA,0.42857142857142855
011SSAB,8,MS,easy,3,NA,1
011SSAB,8,MS,medium,5,NA,1
011SSAB,8,MS,hard,3,NA,0.42857142857142855
011SSAB,9,MS,easy,3,NA,1
011SSAB,9,MS,medium,4,NA,0.8
011SSAB,9,MS,hard,4,NA,0.5714285714285714
011SSAB,10,MS,easy,2,NA,0.6666666666666666
011SSAB,10,MS,medium,4,NA,0.8
011SSAB,10,MS,hard,2,NA,0.2857142857142857
011SSAB,11,MS,easy,3,NA,1
011SSAB,11,MS,medium,5,NA,1
011SSAB,11,MS,hard,5,NA,0.7142857142857143
011SSAB,12,MS,easy,3,NA,1
011SSAB,12,MS,medium,1,NA,0.2
011SSAB,12,MS,hard,5,NA,0.7142857142857143
011SSAB,13,MS,easy,3,NA,1
011SSAB,13,MS,medium,3,NA,0.6
011SSAB,13,MS,hard,3,NA,0.42857142857142855
011SSAB,14,MS,easy,3,NA,1
011SSAB,14,MS,medium,2,NA,0.4
011SSAB,14,MS,hard,4,NA,0.5714285714285714
011SSAB,15,MS,easy,3,NA,1
011SSAB,15,MS,medium,3,NA,0.6
011SSAB,15,MS,hard,3,NA,0.42857142857142855
011SSAB,16,MS,easy,3,NA,1
011SSAB,16,MS,medium,4,NA,0.8
011SSAB,16,MS,hard,4,NA,0.5714285714285714
012EROP,1,MS,easy,3,NA,1
012EROP,1,MS,medium,5,NA,1
012EROP,1,MS,hard,4,NA,0.5714285714285714
012EROP,2,MS,easy,3,NA,1
012EROP,2,MS,medium,4,NA,0.8
012EROP,2,MS,hard,5,NA,0.7142857142857143
012EROP,3,MS,easy,3,NA,1
012EROP,3,MS,medium,5,NA,1
012EROP,3,MS,hard,4,NA,0.5714285714285714
012EROP,4,MS,easy,2,NA,0.6666666666666666
012EROP,4,MS,medium,4,NA,0.8
012EROP,4,MS,hard,2,NA,0.2857142857142857
012EROP,5,MS,easy,3,NA,1
012EROP,5,MS,medium,3,NA,0.6
012EROP,5,MS,hard,5,NA,0.7142857142857143
012EROP,6,MS,easy,3,NA,1
012EROP,6,MS,medium,4,NA,0.8
012EROP,6,MS,hard,2,NA,0.2857142857142857
012EROP,7,MS,easy,3,NA,1
012EROP,7,MS,medium,4,NA,0.8
012EROP,7,MS,hard,3,NA,0.42857142857142855
012EROP,8,MS,easy,3,NA,1
012EROP,8,MS,medium,5,NA,1
012EROP,8,MS,hard,5,NA,0.7142857142857143
012EROP,9,MS,easy,3,NA,1
012EROP,9,MS,medium,5,NA,1
012EROP,9,MS,hard,4,NA,0.5714285714285714
012EROP,10,MS,easy,3,NA,1
012EROP,10,MS,medium,5,NA,1
012EROP,10,MS,hard,5,NA,0.7142857142857143
012EROP,11,MS,easy,3,NA,1
012EROP,11,MS,medium,3,NA,0.6
012EROP,11,MS,hard,5,NA,0.7142857142857143
012EROP,12,MS,easy,3,NA,1
012EROP,12,MS,medium,5,NA,1
012EROP,12,MS,hard,5,NA,0.7142857142857143
012EROP,13,MS,easy,3,NA,1
012EROP,13,MS,medium,5,NA,1
012EROP,13,MS,hard,3,NA,0.42857142857142855
012EROP,14,MS,easy,3,NA,1
012EROP,14,MS,medium,4,NA,0.8
012EROP,14,MS,hard,4,NA,0.5714285714285714
012EROP,15,MS,easy,2,NA,0.6666666666666666
012EROP,15,MS,medium,3,NA,0.6
012EROP,15,MS,hard,2,NA,0.2857142857142857
012EROP,16,MS,easy,3,NA,1
012EROP,16,MS,medium,5,NA,1
012EROP,16,MS,hard,4,NA,0.5714285714285714
013ERVB,1,MS,easy,3,NA,1
013ERVB,1,MS,medium,5,NA,1
013ERVB,1,MS,hard,6,NA,0.8571428571428571
013ERVB,2,MS,easy,3,NA,1
013ERVB,2,MS,medium,5,NA,1
013ERVB,2,MS,hard,7,NA,1
013ERVB,3,MS,easy,3,NA,1
013ERVB,3,MS,medium,5,NA,1
013ERVB,3,MS,hard,6,NA,0.8571428571428571
013ERVB,4,MS,easy,3,NA,1
013ERVB,4,MS,medium,5,NA,1
013ERVB,4,MS,hard,7,NA,1
013ERVB,5,MS,easy,3,NA,1
013ERVB,5,MS,medium,5,NA,1
013ERVB,5,MS,hard,7,NA,1
013ERVB,6,MS,easy,3,NA,1
013ERVB,6,MS,medium,5,NA,1
013ERVB,6,MS,hard,7,NA,1
013ERVB,7,MS,easy,3,NA,1
013ERVB,7,MS,medium,5,NA,1
013ERVB,7,MS,hard,7,NA,1
013ERVB,8,MS,easy,3,NA,1
013ERVB,8,MS,medium,5,NA,1
013ERVB,8,MS,hard,7,NA,1
013ERVB,9,MS,easy,3,NA,1
013ERVB,9,MS,medium,5,NA,1
013ERVB,9,MS,hard,7,NA,1
013ERVB,10,MS,easy,3,NA,1
013ERVB,10,MS,medium,5,NA,1
013ERVB,10,MS,hard,7,NA,1
013ERVB,11,MS,easy,3,NA,1
013ERVB,11,MS,medium,5,NA,1
013ERVB,11,MS,hard,7,NA,1
013ERVB,12,MS,easy,3,NA,1
013ERVB,12,MS,medium,5,NA,1
013ERVB,12,MS,hard,7,NA,1
013ERVB,13,MS,easy,3,NA,1
013ERVB,13,MS,medium,5,NA,1
013ERVB,13,MS,hard,7,NA,1
013ERVB,14,MS,easy,3,NA,1
013ERVB,14,MS,medium,5,NA,1
013ERVB,14,MS,hard,7,NA,1
013ERVB,15,MS,easy,3,NA,1
013ERVB,15,MS,medium,5,NA,1
013ERVB,15,MS,hard,6,NA,0.8571428571428571
013ERVB,16,MS,easy,3,NA,1
013ERVB,16,MS,medium,5,NA,1
013ERVB,16,MS,hard,7,NA,1
014ERAI,1,MS,easy,3,NA,1
014ERAI,1,MS,medium,4,NA,0.8
014ERAI,1,MS,hard,4,NA,0.5714285714285714
014ERAI,2,MS,easy,3,NA,1
014ERAI,2,MS,medium,3,NA,0.6
014ERAI,2,MS,hard,3,NA,0.42857142857142855
014ERAI,3,MS,easy,3,NA,1
014ERAI,3,MS,medium,3,NA,0.6
014ERAI,3,MS,hard,4,NA,0.5714285714285714
014ERAI,4,MS,easy,3,NA,1
014ERAI,4,MS,medium,3,NA,0.6
014ERAI,4,MS,hard,4,NA,0.5714285714285714
014ERAI,5,MS,easy,3,NA,1
014ERAI,5,MS,medium,3,NA,0.6
014ERAI,5,MS,hard,4,NA,0.5714285714285714
014ERAI,6,MS,easy,3,NA,1
014ERAI,6,MS,medium,4,NA,0.8
