task,level,id,ME,PH,TI,PE,EF,FR,OW
ST,medium,xYKzEb6U69,84,80,65,50,64,56,399
MR,medium,xYKzEb6U69,50,2,9,50,60,10,181
MR,hard,xYKzEb6U69,73,5,7,51,64,55,255
ST,easy,xYKzEb6U69,7,6,25,10,50,15,113
MR,medium,XdaJtcIO9r,19,1,1,1,12,0,34
MS,hard,XdaJtcIO9r,76,3,48,85,46,53,311
MR,easy,XdaJtcIO9r,12,2,1,8,12,7,42
MS,easy,XdaJtcIO9r,20,1,16,6,21,12,76
MS,medium,XdaJtcIO9r,43,1,36,45,37,46,208
ST,hard,XdaJtcIO9r,71,1,92,69,71,42,346
ST,easy,XdaJtcIO9r,30,2,51,37,23,7,150
ST,medium,XdaJtcIO9r,51,1,62,38,47,30,229
MR,hard,XdaJtcIO9r,66,1,13,50,46,55,231
MR,medium,JpDUHBwJT1,67,3,7,33,62,27,199
ST,medium,JpDUHBwJT1,72,2,87,68,78,62,369
MS,easy,JpDUHBwJT1,17,3,12,0,17,8,57
MR,hard,JpDUHBwJT1,68,3,6,62,63,55,257
ST,hard,JpDUHBwJT1,87,2,93,93,86,82,443
MS,medium,JpDUHBwJT1,57,3,37,1,39,28,165
ST,easy,JpDUHBwJT1,21,2,46,10,36,32,147
MR,easy,JpDUHBwJT1,38,2,19,30,37,24,150
MS,hard,JpDUHBwJT1,89,3,93,61,91,84,421
MR,medium,z8uZORh5Lg,30,0,50,33,24,55,192
MS,easy,z8uZORh5Lg,41,1,60,40,35,20,197
MR,easy,z8uZORh5Lg,25,1,75,36,16,100,253
MS,hard,z8uZORh5Lg,80,0,99,70,65,56,370
ST,easy,z8uZORh5Lg,36,0,55,19,9,49,168
ST,hard,z8uZORh5Lg,80,0,100,74,99,99,452
MR,hard,z8uZORh5Lg,50,50,50,50,51,51,302
ST,medium,z8uZORh5Lg,51,51,51,49,51,51,304
MS,medium,z8uZORh5Lg,51,51,51,49,51,51,304
MS,hard,yIjm6EG67z,86,22,74,42,66,16,306
ST,medium,yIjm6EG67z,59,20,69,15,66,11,240
MS,easy,yIjm6EG67z,45,22,34,1,36,35,173
MR,easy,yIjm6EG67z,64,8,27,25,59,25,208
MR,hard,yIjm6EG67z,73,11,30,36,65,25,240
MS,medium,yIjm6EG67z,78,19,20,13,76,31,237
ST,easy,yIjm6EG67z,61,6,18,17,57,40,199
MR,medium,yIjm6EG67z,67,8,11,16,62,27,191
ST,hard,yIjm6EG67z,92,10,84,79,67,50,382
ST,hard,alNlXuBH5D,57,20,79,50,64,75,345
MS,hard,alNlXuBH5D,70,11,79,52,65,59,336
ST,medium,alNlXuBH5D,57,16,50,40,56,39,258
MS,easy,alNlXuBH5D,22,2,0,0,20,7,51
MR,easy,alNlXuBH5D,43,4,0,29,38,12,126
MR,medium,alNlXuBH5D,48,1,0,15,44,18,126
MR,hard,alNlXuBH5D,49,8,0,37,49,29,172
MS,medium,alNlXuBH5D,65,10,50,35,60,43,263
ST,easy,alNlXuBH5D,23,0,11,5,25,15,79
MS,hard,QLrSXxmCJy,50,5,71,44,65,27,262
ST,easy,QLrSXxmCJy,13,1,21,10,12,12,69
ST,hard,QLrSXxmCJy,76,1,89,79,61,50,356
MR,easy,QLrSXxmCJy,82,6,5,59,82,57,291
MS,medium,QLrSXxmCJy,22,4,28,15,36,12,117
MR,hard,QLrSXxmCJy,73,1,1,80,74,72,301
ST,medium,QLrSXxmCJy,73,1,71,69,71,42,327
MR,medium,QLrSXxmCJy,83,2,0,98,45,87,315
MS,easy,QLrSXxmCJy,13,1,12,2,15,8,51
MS,medium,8BtJMmB1PT,49,0,50,2,55,50,206
ST,medium,8BtJMmB1PT,40,0,90,63,39,65,297
MR,easy,8BtJMmB1PT,10,0,0,11,14,9,44
MR,medium,8BtJMmB1PT,53,1,5,48,52,17,176
ST,easy,8BtJMmB1PT,7,0,1,0,3,2,13
ST,hard,8BtJMmB1PT,96,3,99,95,57,79,429
MS,easy,8BtJMmB1PT,1,0,1,0,5,3,10
MS,hard,8BtJMmB1PT,82,0,73,58,72,50,335
MR,hard,8BtJMmB1PT,13,1,1,62,14,15,106
MS,hard,8xVAczfPKp,75,4,90,44,76,75,364
MS,easy,8xVAczfPKp,15,5,4,1,19,13,57
MR,easy,8xVAczfPKp,61,19,5,60,37,56,238
MS,medium,8xVAczfPKp,79,4,66,54,65,72,340
ST,hard,8xVAczfPKp,78,27,100,72,85,94,456
ST,easy,8xVAczfPKp,64,1,44,23,51,23,206
MR,hard,8xVAczfPKp,26,8,8,98,17,99,256
ST,medium,8xVAczfPKp,60,0,6,73,27,94,260
MR,medium,8xVAczfPKp,61,0,1,90,10,94,256
ST,hard,P7WDUMyOEc,40,56,80,40,70,55,341
MR,easy,P7WDUMyOEc,79,49,5,70,61,80,344
MS,easy,P7WDUMyOEc,50,40,1,16,65,1,173
MS,medium,P7WDUMyOEc,87,65,55,14,79,55,355
ST,easy,P7WDUMyOEc,5,5,0,0,20,0,30
MS,hard,P7WDUMyOEc,93,88,97,83,86,86,533
MR,medium,P7WDUMyOEc,89,70,4,85,85,86,419
MR,hard,P7WDUMyOEc,97,95,2,81,99,99,473
ST,medium,P7WDUMyOEc,65,59,3,22,58,8,215
MR,hard,cHjpJUhddy,55,15,30,39,60,55,254
MR,medium,cHjpJUhddy,65,16,26,30,70,41,248
MS,medium,cHjpJUhddy,69,5,66,26,65,25,256
ST,easy,cHjpJUhddy,39,4,41,5,45,24,158
MR,easy,cHjpJUhddy,35,6,30,10,40,20,141
MS,easy,cHjpJUhddy,14,5,20,0,26,15,80
MS,hard,cHjpJUhddy,89,6,75,61,80,69,380
ST,hard,cHjpJUhddy,54,5,90,90,90,95,424
ST,medium,cHjpJUhddy,55,6,70,74,64,89,358
ST,easy,qI9h62z2Ku,25,0,60,5,50,0,140
ST,hard,qI9h62z2Ku,85,30,100,100,75,10,400
MR,hard,qI9h62z2Ku,100,0,0,100,80,30,310
ST,medium,qI9h62z2Ku,50,0,60,70,50,0,230
MS,easy,qI9h62z2Ku,5,5,0,0,5,0,15
MS,medium,qI9h62z2Ku,80,20,75,45,50,20,290
MS,hard,qI9h62z2Ku,91,30,95,100,95,0,411
MR,medium,qI9h62z2Ku,60,0,0,75,85,20,240
MR,easy,qI9h62z2Ku,20,0,0,50,25,0,95
MR,easy,OSi3LnpELr,58,19,2,50,61,59,249
MR,hard,OSi3LnpELr,70,30,14,50,65,55,284
MS,medium,OSi3LnpELr,70,35,69,44,70,50,338
