target_present,key,is_correct,rt,task,level,trial,id
0,left,1,1.411,ST,medium,4,z93bJWn4hw
0,left,1,1.0465,ST,medium,5,z93bJWn4hw
1,right,1,1.3044,ST,medium,6,z93bJWn4hw
0,left,1,1.1404,ST,medium,7,z93bJWn4hw
0,left,1,1.2058,ST,medium,8,z93bJWn4hw
0,left,1,2.0459,ST,medium,9,z93bJWn4hw
1,left,0,1.0634,ST,medium,10,z93bJWn4hw
0,left,1,2.3465,ST,medium,11,z93bJWn4hw
1,right,1,1.6128,ST,medium,12,z93bJWn4hw
1,left,0,0.9007,ST,medium,13,z93bJWn4hw
1,left,0,1.0628,ST,medium,14,z93bJWn4hw
0,left,1,0.9878,ST,medium,15,z93bJWn4hw
1,right,1,1.1795,ST,medium,16,z93bJWn4hw
0,left,1,0.6442,ST,easy,1,PsevAJnzJ0
0,left,1,0.9663,ST,easy,2,PsevAJnzJ0
0,left,1,0.647,ST,easy,3,PsevAJnzJ0
0,left,1,1.1675,ST,easy,4,PsevAJnzJ0
1,right,1,0.9399,ST,easy,5,PsevAJnzJ0
1,left,0,0.489,ST,easy,6,PsevAJnzJ0
1,right,1,1.0511,ST,easy,7,PsevAJnzJ0
1,right,1,0.7035,ST,easy,8,PsevAJnzJ0
1,right,1,0.7144,ST,easy,9,PsevAJnzJ0
1,right,1,0.5806,ST,easy,10,PsevAJnzJ0
0,left,1,1.5497,ST,easy,11,PsevAJnzJ0
0,left,1,0.9419,ST,easy,12,PsevAJnzJ0
1,right,1,0.7973,ST,easy,13,PsevAJnzJ0
1,right,1,0.733,ST,easy,14,PsevAJnzJ0
1,right,1,0.8634,ST,easy,15,PsevAJnzJ0
0,left,1,1.1056,ST,easy,16,PsevAJnzJ0
0,left,1,0.8821,ST,hard,1,PsevAJnzJ0
1,left,0,0.9681,ST,hard,2,PsevAJnzJ0
0,left,1,0.9013,ST,hard,3,PsevAJnzJ0
0,left,1,0.7844,ST,hard,4,PsevAJnzJ0
