id,task,level,pool,scale,score_w,score
cCWrG11sgp,MR,easy,pool2,EF,20,75
cCWrG11sgp,MR,easy,pool2,FR,1.9333333333333333,29
cCWrG11sgp,MR,easy,pool2,ME,7.733333333333333,58
cCWrG11sgp,MR,easy,pool2,PE,0,65
cCWrG11sgp,MR,easy,pool2,TI,16.666666666666664,50
cCWrG11sgp,MR,easy,pool2,PH,2.8000000000000003,14
cCWrG11sgp,MR,easy,pool2,OW,49.133333333333326,291
cCWrG11sgp,MR,medium,pool2,EF,20,75
cCWrG11sgp,MR,medium,pool2,FR,2.6666666666666665,40
cCWrG11sgp,MR,medium,pool2,ME,10,75
cCWrG11sgp,MR,medium,pool2,PE,0,70
cCWrG11sgp,MR,medium,pool2,TI,23.333333333333332,70
cCWrG11sgp,MR,medium,pool2,PH,15.200000000000001,76
cCWrG11sgp,MR,medium,pool2,OW,71.2,406
cCWrG11sgp,MR,hard,pool2,EF,26.666666666666668,100
cCWrG11sgp,MR,hard,pool2,FR,5.866666666666666,88
cCWrG11sgp,MR,hard,pool2,ME,12,90
cCWrG11sgp,MR,hard,pool2,PE,0,73
cCWrG11sgp,MR,hard,pool2,TI,28,84
cCWrG11sgp,MR,hard,pool2,PH,7.800000000000001,39
cCWrG11sgp,MR,hard,pool2,OW,80.33333333333333,474
cCWrG11sgp,MS,hard,pool2,EF,26.666666666666668,100
cCWrG11sgp,MS,hard,pool2,FR,7.333333333333333,55
cCWrG11sgp,MS,hard,pool2,ME,17,85
cCWrG11sgp,MS,hard,pool2,PE,0,66
cCWrG11sgp,MS,hard,pool2,TI,33,99
cCWrG11sgp,MS,hard,pool2,PH,2.4,36
cCWrG11sgp,MS,hard,pool2,OW,86.39999999999999,441
cCWrG11sgp,MS,medium,pool2,EF,26.666666666666668,100
cCWrG11sgp,MS,medium,pool2,FR,8,60
cCWrG11sgp,MS,medium,pool2,ME,17.8,89
cCWrG11sgp,MS,medium,pool2,PE,0,55
cCWrG11sgp,MS,medium,pool2,TI,33.33333333333333,100
cCWrG11sgp,MS,medium,pool2,PH,3,45
cCWrG11sgp,MS,medium,pool2,OW,88.8,449
cCWrG11sgp,MS,easy,pool2,EF,22.666666666666668,85
cCWrG11sgp,MS,easy,pool2,FR,10.266666666666666,77
cCWrG11sgp,MS,easy,pool2,ME,15,75
cCWrG11sgp,MS,easy,pool2,PE,0,31
