target_present,key,is_correct,rt,task,level,trial,id,pool
0,left,1,0.9949,ST,medium,10,9ZffIZqFHz,pool1
0,left,1,0.9926,ST,medium,11,9ZffIZqFHz,pool1
1,right,1,1.108,ST,medium,12,9ZffIZqFHz,pool1
0,right,0,1.8533,ST,medium,13,9ZffIZqFHz,pool1
1,right,1,0.853,ST,medium,14,9ZffIZqFHz,pool1
1,right,1,1.1425,ST,medium,15,9ZffIZqFHz,pool1
1,right,1,1.6517,ST,medium,16,9ZffIZqFHz,pool1
1,right,1,2.8156,ST,easy,1,wiRZfBYOru,pool2
0,left,1,2.1857,ST,easy,2,wiRZfBYOru,pool2
1,right,1,1.6355,ST,easy,3,wiRZfBYOru,pool2
1,left,0,4.2439,ST,easy,4,wiRZfBYOru,pool2
0,left,1,2.1043,ST,easy,5,wiRZfBYOru,pool2
0,left,1,2.0205,ST,easy,6,wiRZfBYOru,pool2
0,left,1,1.7921,ST,easy,7,wiRZfBYOru,pool2
1,right,1,1.6482,ST,easy,8,wiRZfBYOru,pool2
1,right,1,2.1427,ST,easy,9,wiRZfBYOru,pool2
0,left,1,1.6884,ST,easy,10,wiRZfBYOru,pool2
1,right,1,1.9935,ST,easy,11,wiRZfBYOru,pool2
1,right,1,1.6661,ST,easy,12,wiRZfBYOru,pool2
1,right,1,1.5114,ST,easy,13,wiRZfBYOru,pool2
0,left,1,1.4832,ST,easy,14,wiRZfBYOru,pool2
0,left,1,1.2585,ST,easy,15,wiRZfBYOru,pool2
1,right,1,1.4389,ST,easy,16,wiRZfBYOru,pool2
1,left,0,4.0674,ST,hard,1,wiRZfBYOru,pool2
0,left,1,6.1998,ST,hard,2,wiRZfBYOru,pool2
0,left,1,5.2927,ST,hard,3,wiRZfBYOru,pool2
1,right,1,2.795,ST,hard,4,wiRZfBYOru,pool2
1,right,1,3.2036,ST,hard,5,wiRZfBYOru,pool2
1,right,1,3.9012,ST,hard,6,wiRZfBYOru,pool2
0,left,1,2.747,ST,hard,7,wiRZfBYOru,pool2
0,left,1,4.1495,ST,hard,8,wiRZfBYOru,pool2
0,left,1,6.3314,ST,hard,9,wiRZfBYOru,pool2
0,left,1,2.9017,ST,hard,10,wiRZfBYOru,pool2
1,right,1,3.0767,ST,hard,11,wiRZfBYOru,pool2
0,right,0,4.4879,ST,hard,12,wiRZfBYOru,pool2
0,left,1,3.3553,ST,hard,13,wiRZfBYOru,pool2
1,right,1,5.1842,ST,hard,14,wiRZfBYOru,pool2
1,right,1,3.305,ST,hard,15,wiRZfBYOru,pool2
1,right,1,2.419,ST,hard,16,wiRZfBYOru,pool2
1,right,1,4.4324,ST,medium,1,wiRZfBYOru,pool2
1,right,1,2.132,ST,medium,2,wiRZfBYOru,pool2
1,right,1,2.6813,ST,medium,3,wiRZfBYOru,pool2
0,left,1,4.6587,ST,medium,4,wiRZfBYOru,pool2
1,right,1,1.7769,ST,medium,5,wiRZfBYOru,pool2
0,left,1,5.6693,ST,medium,6,wiRZfBYOru,pool2
0,right,0,14.638,ST,medium,7,wiRZfBYOru,pool2
0,left,1,2.3375,ST,medium,8,wiRZfBYOru,pool2
1,right,1,2.4974,ST,medium,9,wiRZfBYOru,pool2
1,right,1,1.6801,ST,medium,10,wiRZfBYOru,pool2
0,left,1,1.8672,ST,medium,11,wiRZfBYOru,pool2
1,right,1,2.0374,ST,medium,12,wiRZfBYOru,pool2
0,left,1,1.837,ST,medium,13,wiRZfBYOru,pool2
1,right,1,1.7185,ST,medium,14,wiRZfBYOru,pool2
1,right,1,1.5172,ST,medium,15,wiRZfBYOru,pool2
0,left,1,3.0017,ST,medium,16,wiRZfBYOru,pool2
0,left,1,3.4374,ST,easy,1,cCWrG11sgp,pool2
1,right,1,2.0331,ST,easy,2,cCWrG11sgp,pool2
1,right,1,1.5018,ST,easy,3,cCWrG11sgp,pool2
