task_type,choice,n,w,id,pool
mental_rotation,TI,2,0.13333333333333333,aqEAPJJI8e,pool34
mental_span,EF,1,0.06666666666666667,aqEAPJJI8e,pool34
mental_span,FR,4,0.26666666666666666,aqEAPJJI8e,pool34
mental_span,ME,3,0.2,aqEAPJJI8e,pool34
mental_span,PE,2,0.13333333333333333,aqEAPJJI8e,pool34
mental_span,PH,3,0.2,aqEAPJJI8e,pool34
mental_span,TI,2,0.13333333333333333,aqEAPJJI8e,pool34
sternberg,EF,1,0.06666666666666667,aqEAPJJI8e,pool34
sternberg,FR,3,0.2,aqEAPJJI8e,pool34
sternberg,PE,3,0.2,aqEAPJJI8e,pool34
sternberg,PH,4,0.26666666666666666,aqEAPJJI8e,pool34
sternberg,TI,4,0.26666666666666666,aqEAPJJI8e,pool34
mental_rotation,EF,4,0.26666666666666666,rh40WUcVcA,pool34
mental_rotation,FR,2,0.13333333333333333,rh40WUcVcA,pool34
mental_rotation,ME,4,0.26666666666666666,rh40WUcVcA,pool34
mental_rotation,PE,4,0.26666666666666666,rh40WUcVcA,pool34
mental_rotation,TI,1,0.06666666666666667,rh40WUcVcA,pool34
mental_span,EF,4,0.26666666666666666,rh40WUcVcA,pool34
mental_span,FR,1,0.06666666666666667,rh40WUcVcA,pool34
mental_span,ME,5,0.3333333333333333,rh40WUcVcA,pool34
mental_span,PH,2,0.13333333333333333,rh40WUcVcA,pool34
mental_span,TI,3,0.2,rh40WUcVcA,pool34
sternberg,EF,3,0.2,rh40WUcVcA,pool34
sternberg,FR,2,0.13333333333333333,rh40WUcVcA,pool34
sternberg,ME,4,0.26666666666666666,rh40WUcVcA,pool34
sternberg,PH,1,0.06666666666666667,rh40WUcVcA,pool34
sternberg,TI,5,0.3333333333333333,rh40WUcVcA,pool34
mental_rotation,EF,2,0.13333333333333333,ky7vtw0gdz,pool34
mental_rotation,FR,1,0.06666666666666667,ky7vtw0gdz,pool34
mental_rotation,ME,5,0.3333333333333333,ky7vtw0gdz,pool34
mental_rotation,PE,3,0.2,ky7vtw0gdz,pool34
mental_rotation,TI,4,0.26666666666666666,ky7vtw0gdz,pool34
mental_span,EF,2,0.13333333333333333,ky7vtw0gdz,pool34
mental_span,ME,4,0.26666666666666666,ky7vtw0gdz,pool34
