trials,task,level,n,rt,acc,id
16,MS,easy,3,NA,1,uofo7FKPdo
16,MS,medium,3,NA,0.6,uofo7FKPdo
16,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
1,MS,easy,3,NA,1,VEZTZ89Pge
1,MS,medium,4,NA,0.8,VEZTZ89Pge
1,MS,hard,2,NA,0.2857142857142857,VEZTZ89Pge
2,MS,easy,3,NA,1,VEZTZ89Pge
2,MS,medium,5,NA,1,VEZTZ89Pge
2,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
3,MS,easy,3,NA,1,VEZTZ89Pge
3,MS,medium,5,NA,1,VEZTZ89Pge
3,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
4,MS,easy,3,NA,1,VEZTZ89Pge
4,MS,medium,4,NA,0.8,VEZTZ89Pge
4,MS,hard,2,NA,0.2857142857142857,VEZTZ89Pge
5,MS,easy,3,NA,1,VEZTZ89Pge
5,MS,medium,4,NA,0.8,VEZTZ89Pge
5,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
6,MS,easy,2,NA,0.6666666666666666,VEZTZ89Pge
6,MS,medium,5,NA,1,VEZTZ89Pge
6,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
7,MS,easy,0,NA,0,VEZTZ89Pge
7,MS,medium,5,NA,1,VEZTZ89Pge
7,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
8,MS,easy,3,NA,1,VEZTZ89Pge
8,MS,medium,5,NA,1,VEZTZ89Pge
8,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
9,MS,easy,3,NA,1,VEZTZ89Pge
9,MS,medium,5,NA,1,VEZTZ89Pge
9,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
10,MS,easy,3,NA,1,VEZTZ89Pge
10,MS,medium,5,NA,1,VEZTZ89Pge
10,MS,hard,4,NA,0.5714285714285714,VEZTZ89Pge
11,MS,easy,3,NA,1,VEZTZ89Pge
11,MS,medium,4,NA,0.8,VEZTZ89Pge
