task,level,id,pool,scale,score
MS,easy,wiRZfBYOru,pool2,PH,9
MS,easy,wiRZfBYOru,pool2,TI,11
MS,easy,wiRZfBYOru,pool2,PE,1
MS,easy,wiRZfBYOru,pool2,EF,5
MS,easy,wiRZfBYOru,pool2,FR,7
ST,medium,wiRZfBYOru,pool2,ME,75
ST,medium,wiRZfBYOru,pool2,PH,70
ST,medium,wiRZfBYOru,pool2,TI,80
ST,medium,wiRZfBYOru,pool2,PE,21
ST,medium,wiRZfBYOru,pool2,EF,73
ST,medium,wiRZfBYOru,pool2,FR,69
MS,hard,wiRZfBYOru,pool2,ME,95
MS,hard,wiRZfBYOru,pool2,PH,79
MS,hard,wiRZfBYOru,pool2,TI,91
MS,hard,wiRZfBYOru,pool2,PE,17
MS,hard,wiRZfBYOru,pool2,EF,98
MS,hard,wiRZfBYOru,pool2,FR,94
ST,easy,wiRZfBYOru,pool2,ME,50
ST,easy,wiRZfBYOru,pool2,PH,50
ST,easy,wiRZfBYOru,pool2,TI,50
ST,easy,wiRZfBYOru,pool2,PE,6
ST,easy,wiRZfBYOru,pool2,EF,49
ST,easy,wiRZfBYOru,pool2,FR,51
MR,hard,wiRZfBYOru,pool2,ME,69
MR,hard,wiRZfBYOru,pool2,PH,70
MR,hard,wiRZfBYOru,pool2,TI,70
MR,hard,wiRZfBYOru,pool2,PE,61
MR,hard,wiRZfBYOru,pool2,EF,68
MR,hard,wiRZfBYOru,pool2,FR,77
MR,medium,wiRZfBYOru,pool2,ME,68
MR,medium,wiRZfBYOru,pool2,PH,71
MR,medium,wiRZfBYOru,pool2,TI,69
MR,medium,wiRZfBYOru,pool2,PE,31
MR,medium,wiRZfBYOru,pool2,EF,69
MR,medium,wiRZfBYOru,pool2,FR,69
MS,medium,wiRZfBYOru,pool2,ME,86
MS,medium,wiRZfBYOru,pool2,PH,85
MS,medium,wiRZfBYOru,pool2,TI,85
MS,medium,wiRZfBYOru,pool2,PE,7
MS,medium,wiRZfBYOru,pool2,EF,86
MS,medium,wiRZfBYOru,pool2,FR,83
ST,hard,wiRZfBYOru,pool2,ME,79
ST,hard,wiRZfBYOru,pool2,PH,58
ST,hard,wiRZfBYOru,pool2,TI,62
ST,hard,wiRZfBYOru,pool2,PE,12
ST,hard,wiRZfBYOru,pool2,EF,87
ST,hard,wiRZfBYOru,pool2,FR,89
MR,easy,wiRZfBYOru,pool2,ME,80
MR,easy,wiRZfBYOru,pool2,PH,68
MR,easy,wiRZfBYOru,pool2,TI,53
MR,easy,wiRZfBYOru,pool2,PE,17
MR,easy,wiRZfBYOru,pool2,EF,64
MR,easy,wiRZfBYOru,pool2,FR,57
MR,easy,cCWrG11sgp,pool2,ME,58
MR,easy,cCWrG11sgp,pool2,PH,14
MR,easy,cCWrG11sgp,pool2,TI,50
MR,easy,cCWrG11sgp,pool2,PE,65
MR,easy,cCWrG11sgp,pool2,EF,75
MR,easy,cCWrG11sgp,pool2,FR,29
ST,hard,cCWrG11sgp,pool2,ME,85
ST,hard,cCWrG11sgp,pool2,PH,13
ST,hard,cCWrG11sgp,pool2,TI,79
ST,hard,cCWrG11sgp,pool2,PE,65
ST,hard,cCWrG11sgp,pool2,EF,90
ST,hard,cCWrG11sgp,pool2,FR,40
MR,medium,cCWrG11sgp,pool2,ME,75
MR,medium,cCWrG11sgp,pool2,PH,76
MR,medium,cCWrG11sgp,pool2,TI,70
MR,medium,cCWrG11sgp,pool2,PE,70
MR,medium,cCWrG11sgp,pool2,EF,75
MR,medium,cCWrG11sgp,pool2,FR,40
MS,hard,cCWrG11sgp,pool2,ME,85
MS,hard,cCWrG11sgp,pool2,PH,36
MS,hard,cCWrG11sgp,pool2,TI,99
MS,hard,cCWrG11sgp,pool2,PE,66
MS,hard,cCWrG11sgp,pool2,EF,100
MS,hard,cCWrG11sgp,pool2,FR,55
MS,medium,cCWrG11sgp,pool2,ME,89
MS,medium,cCWrG11sgp,pool2,PH,45
MS,medium,cCWrG11sgp,pool2,TI,100
MS,medium,cCWrG11sgp,pool2,PE,55
MS,medium,cCWrG11sgp,pool2,EF,100
MS,medium,cCWrG11sgp,pool2,FR,60
ST,easy,cCWrG11sgp,pool2,ME,65
ST,easy,cCWrG11sgp,pool2,PH,30
ST,easy,cCWrG11sgp,pool2,TI,100
ST,easy,cCWrG11sgp,pool2,PE,50
ST,easy,cCWrG11sgp,pool2,EF,100
ST,easy,cCWrG11sgp,pool2,FR,55
MS,easy,cCWrG11sgp,pool2,ME,75
MS,easy,cCWrG11sgp,pool2,PH,35
MS,easy,cCWrG11sgp,pool2,TI,94
MS,easy,cCWrG11sgp,pool2,PE,31
MS,easy,cCWrG11sgp,pool2,EF,85
MS,easy,cCWrG11sgp,pool2,FR,77
ST,medium,cCWrG11sgp,pool2,ME,82
ST,medium,cCWrG11sgp,pool2,PH,42
ST,medium,cCWrG11sgp,pool2,TI,98
ST,medium,cCWrG11sgp,pool2,PE,45
ST,medium,cCWrG11sgp,pool2,EF,100
ST,medium,cCWrG11sgp,pool2,FR,77
MR,hard,cCWrG11sgp,pool2,ME,90
MR,hard,cCWrG11sgp,pool2,PH,39
MR,hard,cCWrG11sgp,pool2,TI,84
MR,hard,cCWrG11sgp,pool2,PE,73
MR,hard,cCWrG11sgp,pool2,EF,100
MR,hard,cCWrG11sgp,pool2,FR,88
MS,easy,gI6hCgCchT,pool2,ME,60
MS,easy,gI6hCgCchT,pool2,PH,10
MS,easy,gI6hCgCchT,pool2,TI,50
