task,level,id,scale,score
MR,easy,jipsxYWATF,TI,20
MR,easy,jipsxYWATF,PE,36
MR,easy,jipsxYWATF,EF,80
MR,easy,jipsxYWATF,FR,50
MR,hard,jipsxYWATF,ME,90
MR,hard,jipsxYWATF,PH,9
MR,hard,jipsxYWATF,TI,50
MR,hard,jipsxYWATF,PE,80
MR,hard,jipsxYWATF,EF,65
MR,hard,jipsxYWATF,FR,63
MS,hard,jipsxYWATF,ME,95
MS,hard,jipsxYWATF,PH,6
MS,hard,jipsxYWATF,TI,90
MS,hard,jipsxYWATF,PE,80
MS,hard,jipsxYWATF,EF,90
MS,hard,jipsxYWATF,FR,70
MR,medium,jipsxYWATF,ME,69
MR,medium,jipsxYWATF,PH,2
MR,medium,jipsxYWATF,TI,65
MR,medium,jipsxYWATF,PE,85
MR,medium,jipsxYWATF,EF,55
MR,medium,jipsxYWATF,FR,40
MS,medium,jipsxYWATF,ME,99
MS,medium,jipsxYWATF,PH,1
MS,medium,jipsxYWATF,TI,75
MS,medium,jipsxYWATF,PE,55
MS,medium,jipsxYWATF,EF,89
MS,medium,jipsxYWATF,FR,66
MS,easy,jipsxYWATF,ME,50
MS,easy,jipsxYWATF,PH,0
MS,easy,jipsxYWATF,TI,13
MS,easy,jipsxYWATF,PE,10
MS,easy,jipsxYWATF,EF,19
MS,easy,jipsxYWATF,FR,12
ST,medium,jipsxYWATF,ME,81
ST,medium,jipsxYWATF,PH,2
ST,medium,jipsxYWATF,TI,NA
ST,medium,jipsxYWATF,PE,95
ST,medium,jipsxYWATF,EF,78
ST,medium,jipsxYWATF,FR,56
ST,hard,jipsxYWATF,ME,92
ST,hard,jipsxYWATF,PH,2
ST,hard,jipsxYWATF,TI,100
ST,hard,jipsxYWATF,PE,96
ST,hard,jipsxYWATF,EF,65
ST,hard,jipsxYWATF,FR,55
ST,easy,jipsxYWATF,ME,50
ST,easy,jipsxYWATF,PH,0
ST,easy,jipsxYWATF,TI,27
ST,easy,jipsxYWATF,PE,24
ST,easy,jipsxYWATF,EF,32
ST,easy,jipsxYWATF,FR,17
ST,easy,1W5HQaoCSR,ME,30
ST,easy,1W5HQaoCSR,PH,5
ST,easy,1W5HQaoCSR,TI,50
ST,easy,1W5HQaoCSR,PE,50
