task,level,id,scale,score
MR,medium,gI6hCgCchT,PH,10
MR,medium,gI6hCgCchT,TI,6
MR,medium,gI6hCgCchT,PE,15
MR,medium,gI6hCgCchT,EF,70
MR,medium,gI6hCgCchT,FR,50
MR,easy,gI6hCgCchT,ME,20
MR,easy,gI6hCgCchT,PH,5
MR,easy,gI6hCgCchT,TI,1
MR,easy,gI6hCgCchT,PE,1
MR,easy,gI6hCgCchT,EF,15
MR,easy,gI6hCgCchT,FR,11
ST,medium,gI6hCgCchT,ME,64
ST,medium,gI6hCgCchT,PH,5
ST,medium,gI6hCgCchT,TI,95
ST,medium,gI6hCgCchT,PE,20
ST,medium,gI6hCgCchT,EF,65
ST,medium,gI6hCgCchT,FR,65
MS,medium,gI6hCgCchT,ME,98
MS,medium,gI6hCgCchT,PH,30
MS,medium,gI6hCgCchT,TI,90
MS,medium,gI6hCgCchT,PE,50
MS,medium,gI6hCgCchT,EF,95
MS,medium,gI6hCgCchT,FR,93
ST,easy,gI6hCgCchT,ME,18
ST,easy,gI6hCgCchT,PH,1
ST,easy,gI6hCgCchT,TI,19
ST,easy,gI6hCgCchT,PE,5
ST,easy,gI6hCgCchT,EF,20
ST,easy,gI6hCgCchT,FR,11
MR,hard,gI6hCgCchT,ME,64
MR,hard,gI6hCgCchT,PH,10
MR,hard,gI6hCgCchT,TI,20
MR,hard,gI6hCgCchT,PE,50
MR,hard,gI6hCgCchT,EF,61
MR,hard,gI6hCgCchT,FR,75
MS,hard,gI6hCgCchT,ME,100
MS,hard,gI6hCgCchT,PH,25
MS,hard,gI6hCgCchT,TI,99
MS,hard,gI6hCgCchT,PE,99
MS,hard,gI6hCgCchT,EF,99
MS,hard,gI6hCgCchT,FR,99
ST,hard,gI6hCgCchT,ME,98
ST,hard,gI6hCgCchT,PH,15
ST,hard,gI6hCgCchT,TI,97
ST,hard,gI6hCgCchT,PE,40
ST,hard,gI6hCgCchT,EF,99
ST,hard,gI6hCgCchT,FR,100
MS,easy,kGWL9y5AS9,ME,0
MS,easy,kGWL9y5AS9,PH,2
MS,easy,kGWL9y5AS9,TI,0
MS,easy,kGWL9y5AS9,PE,0
MS,easy,kGWL9y5AS9,EF,5
MS,easy,kGWL9y5AS9,FR,0
MS,hard,kGWL9y5AS9,ME,70
MS,hard,kGWL9y5AS9,PH,80
MS,hard,kGWL9y5AS9,TI,50
MS,hard,kGWL9y5AS9,PE,3
MS,hard,kGWL9y5AS9,EF,99
MS,hard,kGWL9y5AS9,FR,6
ST,hard,kGWL9y5AS9,ME,95
ST,hard,kGWL9y5AS9,PH,0
ST,hard,kGWL9y5AS9,TI,86
ST,hard,kGWL9y5AS9,PE,9
ST,hard,kGWL9y5AS9,EF,95
ST,hard,kGWL9y5AS9,FR,10
MR,medium,kGWL9y5AS9,ME,95
MR,medium,kGWL9y5AS9,PH,6
MR,medium,kGWL9y5AS9,TI,0
MR,medium,kGWL9y5AS9,PE,75
MR,medium,kGWL9y5AS9,EF,15
MR,medium,kGWL9y5AS9,FR,20
ST,medium,kGWL9y5AS9,ME,90
ST,medium,kGWL9y5AS9,PH,15
ST,medium,kGWL9y5AS9,TI,50
ST,medium,kGWL9y5AS9,PE,3
ST,medium,kGWL9y5AS9,EF,20
ST,medium,kGWL9y5AS9,FR,5
MR,hard,kGWL9y5AS9,ME,100
MR,hard,kGWL9y5AS9,PH,9
MR,hard,kGWL9y5AS9,TI,1
MR,hard,kGWL9y5AS9,PE,75
MR,hard,kGWL9y5AS9,EF,100
MR,hard,kGWL9y5AS9,FR,51
MR,easy,kGWL9y5AS9,ME,99
MR,easy,kGWL9y5AS9,PH,49
MR,easy,kGWL9y5AS9,TI,0
MR,easy,kGWL9y5AS9,PE,80
MR,easy,kGWL9y5AS9,EF,99
MR,easy,kGWL9y5AS9,FR,51
ST,easy,kGWL9y5AS9,ME,70
ST,easy,kGWL9y5AS9,PH,49
ST,easy,kGWL9y5AS9,TI,50
ST,easy,kGWL9y5AS9,PE,2
ST,easy,kGWL9y5AS9,EF,90
ST,easy,kGWL9y5AS9,FR,1
MS,medium,kGWL9y5AS9,ME,95
MS,medium,kGWL9y5AS9,PH,95
MS,medium,kGWL9y5AS9,TI,50
MS,medium,kGWL9y5AS9,PE,3
MS,medium,kGWL9y5AS9,EF,95
MS,medium,kGWL9y5AS9,FR,20
MR,hard,ntoLpzjCrW,ME,10
MR,hard,ntoLpzjCrW,PH,10
MR,hard,ntoLpzjCrW,TI,10
MR,hard,ntoLpzjCrW,PE,20
MR,hard,ntoLpzjCrW,EF,11
MR,hard,ntoLpzjCrW,FR,10
MR,easy,ntoLpzjCrW,ME,10
MR,easy,ntoLpzjCrW,PH,5
MR,easy,ntoLpzjCrW,TI,10
MR,easy,ntoLpzjCrW,PE,30
MR,easy,ntoLpzjCrW,EF,5
MR,easy,ntoLpzjCrW,FR,5
MS,medium,ntoLpzjCrW,ME,20
MS,medium,ntoLpzjCrW,PH,20
MS,medium,ntoLpzjCrW,TI,14
MS,medium,ntoLpzjCrW,PE,11
MS,medium,ntoLpzjCrW,EF,16
MS,medium,ntoLpzjCrW,FR,15
MR,medium,ntoLpzjCrW,ME,24
MR,medium,ntoLpzjCrW,PH,25
MR,medium,ntoLpzjCrW,TI,26
MR,medium,ntoLpzjCrW,PE,15
MR,medium,ntoLpzjCrW,EF,20
MR,medium,ntoLpzjCrW,FR,25
MS,easy,ntoLpzjCrW,ME,50
