correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial,id
left,images/base/16_b.png,images/combined/16_a_x_45_y_0_z_270.png,left,1,7.7639,MR,medium,10,z93bJWn4hw
right,images/base/9_a.png,images/combined/9_a_x_315_y_0_z_90.png,right,1,6.3117,MR,medium,11,z93bJWn4hw
right,images/base/8_a.png,images/combined/8_a_x_315_y_0_z_270.png,right,1,7.7784,MR,medium,12,z93bJWn4hw
right,images/base/10_b.png,images/combined/10_b_x_315_y_0_z_270.png,right,1,3.0249,MR,medium,13,z93bJWn4hw
right,images/base/15_a.png,images/combined/15_a_x_45_y_0_z_90.png,right,1,6.2991,MR,medium,14,z93bJWn4hw
left,images/base/2_a.png,images/combined/2_b_x_315_y_0_z_90.png,left,1,4.7463,MR,medium,15,z93bJWn4hw
right,images/base/12_b.png,images/combined/12_b_x_45_y_0_z_90.png,right,1,2.5998,MR,medium,16,z93bJWn4hw
left,images/base/3_a.png,images/combined/3_b_x_270_y_0_z_90.png,left,1,13.6409,MR,hard,1,z93bJWn4hw
left,images/base/4_b.png,images/combined/4_a_x_90_y_0_z_270.png,left,1,5.5299,MR,hard,2,z93bJWn4hw
left,images/base/13_b.png,images/combined/13_a_x_270_y_0_z_90.png,left,1,6.53,MR,hard,3,z93bJWn4hw
left,images/base/1_a.png,images/combined/1_b_x_90_y_0_z_270.png,left,1,15.3447,MR,hard,4,z93bJWn4hw
right,images/base/11_b.png,images/combined/11_b_x_90_y_0_z_90.png,right,1,25.8422,MR,hard,5,z93bJWn4hw
left,images/base/10_b.png,images/combined/10_a_x_90_y_0_z_90.png,left,1,13.8273,MR,hard,6,z93bJWn4hw
right,images/base/8_a.png,images/combined/8_a_x_270_y_0_z_90.png,right,1,4.3969,MR,hard,7,z93bJWn4hw
left,images/base/15_a.png,images/combined/15_b_x_90_y_0_z_270.png,left,1,19.424,MR,hard,8,z93bJWn4hw
left,images/base/7_a.png,images/combined/7_b_x_270_y_0_z_90.png,left,1,10.7775,MR,hard,9,z93bJWn4hw
left,images/base/12_a.png,images/combined/12_b_x_90_y_0_z_270.png,left,1,10.5115,MR,hard,10,z93bJWn4hw
left,images/base/9_b.png,images/combined/9_a_x_270_y_0_z_270.png,right,0,8.7896,MR,hard,11,z93bJWn4hw
right,images/base/2_b.png,images/combined/2_b_x_270_y_0_z_90.png,right,1,4.0677,MR,hard,12,z93bJWn4hw
left,images/base/5_a.png,images/combined/5_b_x_90_y_0_z_270.png,left,1,19.9192,MR,hard,13,z93bJWn4hw
right,images/base/14_a.png,images/combined/14_a_x_270_y_0_z_90.png,right,1,5.3299,MR,hard,14,z93bJWn4hw
right,images/base/16_a.png,images/combined/16_a_x_270_y_0_z_270.png,right,1,7.8991,MR,hard,15,z93bJWn4hw
right,images/base/6_a.png,images/combined/6_a_x_270_y_0_z_90.png,right,1,3.5985,MR,hard,16,z93bJWn4hw
left,images/base/12_a.png,images/combined/12_b_x_0_y_0_z_315.png,left,1,12.1829,MR,easy,1,PsevAJnzJ0
right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_45.png,right,1,3.345,MR,easy,2,PsevAJnzJ0
left,images/base/13_a.png,images/combined/13_b_x_0_y_0_z_315.png,left,1,6.271,MR,easy,3,PsevAJnzJ0
left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_315.png,left,1,15.7618,MR,easy,4,PsevAJnzJ0
left,images/base/15_b.png,images/combined/15_a_x_0_y_0_z_45.png,right,0,3.1093,MR,easy,5,PsevAJnzJ0
right,images/base/4_b.png,images/combined/4_b_x_0_y_0_z_45.png,right,1,5.277,MR,easy,6,PsevAJnzJ0
right,images/base/9_a.png,images/combined/9_a_x_0_y_0_z_45.png,right,1,2.9431,MR,easy,7,PsevAJnzJ0
left,images/base/1_a.png,images/combined/1_b_x_0_y_0_z_315.png,left,1,1.3136,MR,easy,8,PsevAJnzJ0
right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_315.png,right,1,2.5725,MR,easy,9,PsevAJnzJ0
left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,left,1,6.6224,MR,easy,10,PsevAJnzJ0
left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_45.png,left,1,11.9913,MR,easy,11,PsevAJnzJ0
right,images/base/6_b.png,images/combined/6_b_x_0_y_0_z_45.png,right,1,3.2082,MR,easy,12,PsevAJnzJ0
right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_315.png,right,1,8.23,MR,easy,13,PsevAJnzJ0
left,images/base/8_a.png,images/combined/8_b_x_0_y_0_z_45.png,left,1,2.7976,MR,easy,14,PsevAJnzJ0
left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_315.png,left,1,1.6727,MR,easy,15,PsevAJnzJ0
left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,left,1,11.6789,MR,easy,16,PsevAJnzJ0
left,images/base/4_a.png,images/combined/4_b_x_45_y_0_z_270.png,right,0,3.5535,MR,medium,1,PsevAJnzJ0
left,images/base/3_a.png,images/combined/3_b_x_45_y_0_z_270.png,left,1,5.6366,MR,medium,2,PsevAJnzJ0
right,images/base/1_a.png,images/combined/1_a_x_315_y_0_z_270.png,right,1,3.7912,MR,medium,3,PsevAJnzJ0
right,images/base/8_b.png,images/combined/8_b_x_45_y_0_z_270.png,left,0,11.0009,MR,medium,4,PsevAJnzJ0
left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_90.png,right,0,3.0634,MR,medium,5,PsevAJnzJ0
left,images/base/13_a.png,images/combined/13_b_x_45_y_0_z_90.png,left,1,5.0985,MR,medium,6,PsevAJnzJ0
right,images/base/16_a.png,images/combined/16_a_x_315_y_0_z_90.png,right,1,6.1821,MR,medium,7,PsevAJnzJ0
left,images/base/12_a.png,images/combined/12_b_x_315_y_0_z_90.png,right,0,7.341,MR,medium,8,PsevAJnzJ0
left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_270.png,right,0,20.3224,MR,medium,9,PsevAJnzJ0
right,images/base/11_a.png,images/combined/11_a_x_315_y_0_z_270.png,left,0,5.9564,MR,medium,10,PsevAJnzJ0
left,images/base/15_b.png,images/combined/15_a_x_315_y_0_z_270.png,left,1,34.6784,MR,medium,11,PsevAJnzJ0
right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_270.png,right,1,5.9294,MR,medium,12,PsevAJnzJ0
right,images/base/2_a.png,images/combined/2_a_x_315_y_0_z_90.png,left,0,5.9762,MR,medium,13,PsevAJnzJ0
right,images/base/14_b.png,images/combined/14_b_x_45_y_0_z_90.png,right,1,7.304,MR,medium,14,PsevAJnzJ0
right,images/base/7_a.png,images/combined/7_a_x_315_y_0_z_90.png,left,0,4.2067,MR,medium,15,PsevAJnzJ0
right,images/base/9_a.png,images/combined/9_a_x_315_y_0_z_90.png,right,1,5.8976,MR,medium,16,PsevAJnzJ0
